algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
constructive_learning,0.012,1.488,0.907,0.907,0.907,0.907,0.907,0.892,0.842,0.892,0.093,0.093,0.257,1.029,1.014,0.893,79.662
AIS,0.437,27.896,0.933,0.933,0.933,0.932,0.933,0.922,0.880,0.922,0.067,0.067,0.187,0.754,0.868,0.928,85.104
GBBK,0.026,0.068,0.574,0.662,0.574,0.555,0.588,0.542,0.481,0.508,0.426,0.426,1.685,8.698,2.949,0.473,-59.633
GE SVM,38.138,50.386,0.731,0.749,0.731,0.715,0.718,0.692,0.617,0.687,0.269,0.269,0.836,3.701,1.924,0.656,30.338
Hidden Naive Bayes (HNB),0.018,0.067,0.574,0.662,0.574,0.555,0.588,0.542,0.481,0.508,0.426,0.426,1.685,8.698,2.949,0.473,-59.633
HistGradientBoostingClassifier,0.623,17.217,0.929,0.929,0.929,0.929,0.929,0.918,0.875,0.918,0.071,0.071,0.195,0.783,0.885,0.923,84.525
IGRF-RFE with k-fold Cross-Validation,0.008,1.086,0.903,0.902,0.903,0.903,0.903,0.887,0.834,0.887,0.097,0.097,0.279,1.144,1.070,0.887,77.388
ICA,0.470,59.032,0.931,0.931,0.931,0.931,0.931,0.920,0.877,0.920,0.069,0.069,0.203,0.844,0.919,0.925,83.320
Lasso Regression,0.014,108.224,0.674,0.710,0.674,0.652,0.655,0.627,0.561,0.620,0.326,0.326,0.943,3.994,1.999,0.568,21.356
Meta (KNN),9.084,0.428,0.912,0.913,0.912,0.911,0.912,0.898,0.846,0.898,0.088,0.088,0.262,1.105,1.051,0.906,78.183
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.469,1354.330,0.517,0.502,0.517,0.503,0.500,0.438,0.405,0.435,0.483,0.483,1.550,6.899,2.627,0.381,-36.221
Projected Gradient Descent (PGD),0.013,33.955,0.743,0.784,0.743,0.722,0.722,0.707,0.625,0.701,0.257,0.257,0.761,3.282,1.812,0.660,37.003
PCA,0.008,1.765,0.894,0.894,0.894,0.894,0.894,0.877,0.820,0.877,0.106,0.106,0.311,1.301,1.141,0.878,74.289
RBF,41.105,57.188,0.731,0.752,0.731,0.715,0.718,0.693,0.617,0.687,0.269,0.269,0.832,3.672,1.916,0.656,30.908
Stacked Convolutional Neural Networks with k-fold Cross-Validation,3.910,96.876,0.811,0.813,0.811,0.788,0.786,0.785,0.698,0.781,0.189,0.189,0.614,2.807,1.675,0.764,45.176
Simulated Annealing (SA),0.000,122.142,0.405,0.276,0.405,0.300,0.283,0.392,0.274,0.274,0.595,0.595,1.919,7.712,2.777,0.221,-10.796
SVM with Optimization and k-fold Cross-Validation,11.378,43.563,0.644,0.680,0.644,0.611,0.620,0.597,0.526,0.583,0.356,0.356,1.153,5.386,2.321,0.517,-6.322
Stacking Classifier,1.286,171.330,0.904,0.904,0.904,0.904,0.904,0.888,0.837,0.888,0.096,0.096,0.271,1.086,1.042,0.889,78.533
Stacking Dilated Convolutional Autoencoders,0.021,10.513,0.904,0.904,0.904,0.904,0.904,0.888,0.837,0.888,0.096,0.096,0.264,1.044,1.022,0.889,79.362
Temporal Deep Feedforward Neural Network,3.063,79.083,0.692,0.686,0.692,0.664,0.669,0.650,0.574,0.640,0.308,0.308,0.981,4.539,2.130,0.585,10.291
Voting Classifier,0.184,3.560,0.905,0.906,0.905,0.905,0.906,0.889,0.839,0.889,0.095,0.095,0.259,1.019,1.010,0.892,79.887
GBT,0.452,385.400,0.901,0.901,0.901,0.899,0.900,0.886,0.831,0.885,0.099,0.099,0.285,1.200,1.096,0.886,76.285
CART,0.015,3026.250,0.259,0.141,0.259,0.117,0.105,0.084,0.072,0.014,0.741,0.741,1.749,5.340,2.311,0.124,3.151
